condition_id,source,week_start,sentiment_score,sentiment_direction,post_count
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-04-22 00:00:00,-0.94045,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-03 00:00:00,-0.0382,0,5
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-10 00:00:00,0.1677,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-17 00:00:00,-0.1998,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-24 00:00:00,-0.79075,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-08 00:00:00,-0.93685,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-15 00:00:00,-0.05646,-1,5
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-22 00:00:00,-0.49987,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-29 00:00:00,-0.74607,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-08-19 00:00:00,-0.69795,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-02 00:00:00,-0.34168,-1,4
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-09 00:00:00,-0.10247,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-16 00:00:00,-0.7258,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-30 00:00:00,0.0086,0,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-11-11 00:00:00,0.9187,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-11-25 00:00:00,0.9556,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-12-02 00:00:00,-0.1022,-1,2
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-02-26 00:00:00,0.78286,1,5
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-03-04 00:00:00,0.29947,1,11
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-03-11 00:00:00,0.23504,1,13
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-03-18 00:00:00,0.22769,1,7
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-03-25 00:00:00,0.63368,1,4
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-04-01 00:00:00,0.86907,1,3
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-04-08 00:00:00,0.64724,1,7
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-04-15 00:00:00,-0.2568,-1,4
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-04-22 00:00:00,-0.30397,-1,3
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-04-29 00:00:00,-0.1113,-1,2
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-05-06 00:00:00,0.60439,1,7
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-05-13 00:00:00,0.5042,1,6
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-05-20 00:00:00,0.6296,1,13
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-05-27 00:00:00,0.54575,1,10
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-06-03 00:00:00,0.28017,1,6
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-06-10 00:00:00,0.61446,1,11
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-06-17 00:00:00,0.33551,1,8
0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,truth_social,2024-06-24 00:00:00,-0.0077,0,2
